Timestamp,word,造句（请给出一则造句）,备注：,创建时间,词性,出处,Link:,创建用户,解释+出处：,短释义,视频或图片补充
5/27/2021 22:59:11,吃瓜,小词因为围观两个商贩打架而不小心被其中一个人无伤，在救护车上小词表示：“我只是来吃瓜的。”,,12/17/2018,"生活, 游戏, 直播, 饭圈",出自梗词“吃瓜群众”，是由戏院火车上推售等地“前排出售瓜子，前排吃瓜子，前排吃瓜”广告词演变而来的。后来在多数表情包中这个“瓜”由瓜子演变成了西瓜。,https://baike.baidu.com/item/%E5%90%83%E7%93%9C/23207905,fahygao,直译为“吃瓜群众”。形容一种不关己事、不发表意见仅围观的状态。,,
5/27/2021 23:02:47,吃瓜群众,面对为什么别人打架但小词被打伤的事情，其他群众对警察表示小词真的只是个不明真相的吃瓜群众。,（最好有图片）,7/18/2016,"生活, 游戏, 直播, 国风, 体育, 数码, 饭圈",出自2016年网络论坛上，网友对人们发帖讨论问题，后面排队跟帖，不着边际地闲扯的人的统称，因为他们的常用语就是“前排出售瓜子”“前排吃瓜子”。,https://baike.baidu.com/item/%E5%90%83%E7%93%9C%E7%BE%A4%E4%BC%97,fahygao,形容围观某事物的人们，表示表示一种不关己事、不发表意见仅围观的状态。,,
5/27/2021 23:08:49,逆行者,小词代表广大网友表示：“疫情期间的每一位逆行者都是值得被歌颂的！”,,8/12/2015,生活,出自2015年8月12日的天津仓库爆炸事件。当晚，中国天津滨海新区发生危险品仓库爆炸事故，所有人往外跑，而消防员第一时间冒着险情逆行进入火场，逆行者指的是勇于向前的消防员。他们也因而被称作“世界上最帅的逆行者们”。后于2020年用来指无数奋战抗击新型冠状病毒第一线的医务工作者们。,https://www.sohu.com/a/371656269_521217,fahygao,形容在困难面前逆向而行的人。,,
5/27/2021 23:13:58,后浪,小词面对目前社会对于90后的质疑声说道：“后浪们崛起吧！祖国的未来就靠你们了！”,（最好有机会拿到b站视频的转发权限）,5/3/2020,"生活, 学习, 饭圈",出自“长江后浪推前浪，世上新人换旧人”。本意指晚辈，一般指90后、00后，因2020年五四青年节前夕bilibili弹幕网的短视频《后浪》而走红。,https://jikipedia.com/definition/376950840,fahygao,直意指晚辈，但在目前使用过程中词意范畴从宽幅走向窄幅，成为特指部分群体80，90后的名称。,,
5/27/2021 23:21:35,锦鲤,在中招考试的前一天，小词在家花一天时间摆了一个求锦鲤阵，嘀咕道：“求锦鲤来让我升学成功。”,（最好有图片）,12/30/2013,"生活, 学习, 游戏, 国风, 旧词新义",出自2013年，一条来自账号“锦鲤大王”的“关注并转我子孙锦鲤图者，一月内必有好事发生”的微博一夜爆红。该条微博转发量达920多万，评论量250多万。,https://baike.baidu.com/item/%E9%94%A6%E9%B2%A4/23188817#viewPageContent,fahygao,意为一切跟好运相关的事物，美好富贵的象征。,,
5/27/2021 23:27:57,小目标,每天搬砖的小词表示：“王叔的小目标是我一辈子的梦想。”,,8/30/2016,"生活, 学习",出自万达集团董事长王健林之口。他在《鲁豫有约大咖一日行》中谈到“很多年轻人想当首富”的话题时表示：“想做世界首富，这个奋斗的方向是对的，但是最好先定一个能达到的小目标，比如我先挣它1个亿。”,https://baike.baidu.com/item/%E4%B8%80%E4%B8%AA%E4%BA%BF%E5%B0%8F%E7%9B%AE%E6%A0%87/19950313?fromtitle=%E5%B0%8F%E7%9B%AE%E6%A0%87&fromid=20161517#viewPageContent,fahygao,意为是普通人难以达到的“大目标”，多含讥讽和自嘲的意味。,,https://drive.google.com/open?id=1PoQ5Cs7ZaVLjOuHC21dyzu3Cd6hfy3u7
5/27/2021 23:34:07,葛优躺,对小词有好感的女生问他晚上干什么，小词想都没想直接表示：“我这工作一天回家必定葛优瘫啊。”,,8/15/2016,"生活, 游戏, 直播",出自演员葛优在1993年情景喜剧《我爱我家》第17、18集里面的剧照姿势。《我爱我家》讲述了葛优饰演的“二混子”季春生，去贾家蹭吃蹭喝的故事。,https://baike.baidu.com/item/%E8%91%9B%E4%BC%98%E8%BA%BA,fahygao,又名“葛优瘫”，直意为“从椅子上出溜下去”的姿势。形容自己的“颓废”的状态。,,https://drive.google.com/open?id=15k0vVk1aClbRxs8WzybjfBXtiqBLeCXF
5/27/2021 23:46:13,007,007的工作模式就是当代年轻人的现状。,,3/1/2020,"生活, 学习",出自马云在一次阿里巴巴内部交流活动上对员工们说，“能做996是一种巨大的福气，很多公司、很多人想996都没有机会。如果你年轻的时候不996，你什么时候可以996?” 随后从“996”引申成“007”的工作模式。,https://baike.baidu.com/item/007%E5%B7%A5%E4%BD%9C%E5%88%B6/24601022?fromtitle=007&fromid=56316955,fahygao,直意为一种比996更狠的弹性工作制。从0点到0点，一周7天不休息。俗称24小时。,,
5/28/2021 0:29:12,柠檬精,当身边全都是情侣的时候，一只柠檬精悄悄的路过。,,1/5/2019,"生活, 游戏, 饭圈",出自电竞圈，用来形容某一战队的一名不理智的女粉，因为其他战队获得了较好成绩，说出了一些酸气十足的话语。,https://baike.baidu.com/item/%E6%9F%A0%E6%AA%AC%E7%B2%BE,ellalala,直译为“柠檬成精”。描述一些嫉妒心很强，容易被酸到，并且见不得别人比他好的人。因为柠檬很酸所以跟容易嫉妒的人交往感觉跟吃柠檬一样。主要组成部分为单身人士，多用于自嘲式地表达对他人的羡慕。,,https://drive.google.com/open?id=177eI4ejzArBBxhyBqzh23HyO_KScyC5M
5/28/2021 0:51:40,雨女无瓜,"小蓝：""为什么你老是戴着面罩啊？"" 游乐王子：“雨女无瓜。”",,5/24/2019,"生活, 饭圈",出自电视剧《巴啦啦小魔仙》中游乐王子的经典台词。因为游乐王子的普通话带有口音，他的这句 “与你无关”，加上他高冷的人设，被网友做成了“雨女无瓜”的表情包，用来调侃别人。,https://baike.baidu.com/item/%E9%9B%A8%E5%A5%B3%E6%97%A0%E7%93%9C/23522249,ellalala,“与你无关”的方言谐音。,,原视频：https://www.bilibili.com/video/BV1L4411M7DW/
